Pair,Date,Open,High,Low,Close
GBPUSD,12/10/2013 4:00,1.645,1.64534,1.6449,1.64495
GBPUSD,12/10/2013 5:00,1.64503,1.64646,1.64495,1.64595
GBPUSD,12/10/2013 6:00,1.64602,1.64635,1.64561,1.64566
GBPUSD,12/10/2013 7:00,1.64564,1.64567,1.64447,1.64471
GBPUSD,12/10/2013 8:00,1.64469,1.64528,1.6443,1.6446
GBPUSD,12/10/2013 9:00,1.64458,1.64539,1.64227,1.64314
GBPUSD,12/10/2013 10:00,1.64318,1.64408,1.64205,1.64344
GBPUSD,12/10/2013 11:00,1.64344,1.64588,1.64254,1.64549
GBPUSD,12/10/2013 12:00,1.64548,1.64583,1.64387,1.64388
GBPUSD,12/10/2013 13:00,1.64387,1.64468,1.64352,1.64455
GBPUSD,12/10/2013 14:00,1.6445,1.64494,1.6435,1.64455
GBPUSD,12/10/2013 15:00,1.64453,1.64502,1.64326,1.6439
GBPUSD,12/10/2013 16:00,1.64392,1.64418,1.64205,1.64269
GBPUSD,12/10/2013 17:00,1.6427,1.64349,1.64214,1.64229
GBPUSD,12/10/2013 18:00,1.64229,1.64352,1.64227,1.64342
GBPUSD,12/10/2013 19:00,1.64343,1.64529,1.64309,1.64517
GBPUSD,12/10/2013 20:00,1.64519,1.64519,1.64421,1.64466
GBPUSD,12/10/2013 21:00,1.64454,1.64485,1.64422,1.64474
GBPUSD,12/10/2013 22:00,1.64473,1.64494,1.64424,1.64447
GBPUSD,12/10/2013 23:00,1.64453,1.64476,1.64433,1.6446
GBPUSD,12/11/2013 0:00,1.64461,1.64566,1.64457,1.64562
GBPUSD,12/11/2013 1:00,1.64573,1.64573,1.64432,1.64462
GBPUSD,12/11/2013 2:00,1.64458,1.64459,1.64329,1.644
GBPUSD,12/11/2013 3:00,1.64401,1.64423,1.64348,1.64348
GBPUSD,12/11/2013 4:00,1.64351,1.64466,1.64339,1.64394
GBPUSD,12/11/2013 5:00,1.64393,1.6444,1.64367,1.64397
GBPUSD,12/11/2013 6:00,1.64395,1.64426,1.64352,1.64364
GBPUSD,12/11/2013 7:00,1.64363,1.64378,1.64306,1.64321
GBPUSD,12/11/2013 8:00,1.64321,1.64378,1.64288,1.64305
GBPUSD,12/11/2013 9:00,1.64305,1.64305,1.63995,1.64148
GBPUSD,12/11/2013 10:00,1.64148,1.64258,1.64004,1.64054
GBPUSD,12/11/2013 11:00,1.64053,1.64078,1.6388,1.63949
GBPUSD,12/11/2013 12:00,1.6395,1.63952,1.63745,1.6378
GBPUSD,12/11/2013 13:00,1.63769,1.63803,1.63675,1.63762
GBPUSD,12/11/2013 14:00,1.63761,1.63843,1.63723,1.63839
GBPUSD,12/11/2013 15:00,1.6384,1.64083,1.63827,1.63881
GBPUSD,12/11/2013 16:00,1.63884,1.63889,1.6339,1.63696
GBPUSD,12/11/2013 17:00,1.63688,1.6396,1.63542,1.63882
GBPUSD,12/11/2013 18:00,1.63877,1.64039,1.63872,1.6392
GBPUSD,12/11/2013 19:00,1.63924,1.63967,1.63819,1.63874
GBPUSD,12/11/2013 20:00,1.63875,1.639,1.63748,1.63814
GBPUSD,12/11/2013 21:00,1.63816,1.6388,1.63767,1.63775
GBPUSD,12/11/2013 22:00,1.63773,1.63804,1.63695,1.63742
GBPUSD,12/11/2013 23:00,1.63722,1.63807,1.63722,1.63753
GBPUSD,12/12/2013 0:00,1.63756,1.63789,1.63714,1.6375
GBPUSD,12/12/2013 1:00,1.6375,1.63777,1.63526,1.63536
GBPUSD,12/12/2013 2:00,1.63537,1.63668,1.63531,1.63662
GBPUSD,12/12/2013 3:00,1.63663,1.63728,1.63633,1.63683
GBPUSD,12/12/2013 4:00,1.63681,1.63698,1.63564,1.63606
GBPUSD,12/12/2013 5:00,1.63606,1.63637,1.6359,1.63611
GBPUSD,12/12/2013 6:00,1.63611,1.63645,1.63581,1.63635
GBPUSD,12/12/2013 7:00,1.63635,1.63666,1.63598,1.6364
GBPUSD,12/12/2013 8:00,1.63641,1.63972,1.63624,1.63965
GBPUSD,12/12/2013 9:00,1.63966,1.6415,1.6396,1.64016
GBPUSD,12/12/2013 10:00,1.64016,1.64178,1.63943,1.64046
GBPUSD,12/12/2013 11:00,1.64047,1.64054,1.63874,1.63944
GBPUSD,12/12/2013 12:00,1.63944,1.64118,1.63939,1.64014
GBPUSD,12/12/2013 13:00,1.64015,1.64152,1.63971,1.64049
GBPUSD,12/12/2013 14:00,1.64049,1.64084,1.63581,1.63583
GBPUSD,12/12/2013 15:00,1.63582,1.63718,1.63512,1.63677
GBPUSD,12/12/2013 16:00,1.63676,1.63695,1.63213,1.63244
GBPUSD,12/12/2013 17:00,1.63249,1.63388,1.63205,1.63256
GBPUSD,12/12/2013 18:00,1.63254,1.63414,1.63233,1.63352
GBPUSD,12/12/2013 19:00,1.63351,1.63392,1.63242,1.6339
GBPUSD,12/12/2013 20:00,1.63391,1.63496,1.63364,1.63448
GBPUSD,12/12/2013 21:00,1.63457,1.6351,1.63409,1.63485
GBPUSD,12/12/2013 22:00,1.63486,1.63548,1.63456,1.63492
GBPUSD,12/12/2013 23:00,1.63492,1.6351,1.63414,1.63428
GBPUSD,12/13/2013 0:00,1.63428,1.63446,1.63374,1.63378
GBPUSD,12/13/2013 1:00,1.63379,1.63424,1.63355,1.63419
GBPUSD,12/13/2013 2:00,1.63419,1.63526,1.63418,1.63482
GBPUSD,12/13/2013 3:00,1.63482,1.63508,1.63469,1.63479
GBPUSD,12/13/2013 4:00,1.6348,1.63597,1.63468,1.6351
GBPUSD,12/13/2013 5:00,1.63508,1.6351,1.63367,1.63375
GBPUSD,12/13/2013 6:00,1.63377,1.63424,1.63324,1.6341
GBPUSD,12/13/2013 7:00,1.63419,1.63468,1.63405,1.6343
GBPUSD,12/13/2013 8:00,1.6343,1.63475,1.63281,1.63315
GBPUSD,12/13/2013 9:00,1.63318,1.6347,1.63228,1.6347
GBPUSD,12/13/2013 10:00,1.6347,1.63486,1.63321,1.63323
GBPUSD,12/13/2013 11:00,1.63324,1.63335,1.6278,1.62801
GBPUSD,12/13/2013 12:00,1.628,1.6285,1.62703,1.62728
GBPUSD,12/13/2013 13:00,1.62726,1.62767,1.62649,1.62685
GBPUSD,12/13/2013 14:00,1.62684,1.62981,1.62623,1.62979
GBPUSD,12/13/2013 15:00,1.62978,1.62979,1.62654,1.62685
GBPUSD,12/13/2013 16:00,1.62685,1.62898,1.62678,1.62762
GBPUSD,12/13/2013 17:00,1.62762,1.62968,1.62752,1.62916
GBPUSD,12/13/2013 18:00,1.62915,1.62956,1.62854,1.6292
GBPUSD,12/13/2013 19:00,1.62914,1.62938,1.62801,1.62933
GBPUSD,12/13/2013 20:00,1.62937,1.62951,1.62818,1.62921
GBPUSD,12/13/2013 21:00,1.62924,1.62991,1.62892,1.62958
GBPUSD,12/13/2013 22:00,1.62959,1.63038,1.62912,1.62914
GBPUSD,12/16/2013 0:00,1.63055,1.63068,1.62952,1.62983
GBPUSD,12/16/2013 1:00,1.62983,1.63025,1.6293,1.62963
GBPUSD,12/16/2013 2:00,1.62964,1.63002,1.62916,1.6295
GBPUSD,12/16/2013 3:00,1.6295,1.63052,1.6295,1.62981
GBPUSD,12/16/2013 4:00,1.62983,1.63056,1.62938,1.63036
GBPUSD,12/16/2013 5:00,1.63036,1.63063,1.63006,1.63008
GBPUSD,12/16/2013 6:00,1.63008,1.63017,1.62959,1.63006
GBPUSD,12/16/2013 7:00,1.63006,1.6309,1.63002,1.6308
GBPUSD,12/16/2013 8:00,1.63079,1.633,1.63072,1.6324
GBPUSD,12/16/2013 9:00,1.63249,1.6335,1.63148,1.63244
GBPUSD,12/16/2013 10:00,1.63244,1.63305,1.63171,1.63199
GBPUSD,12/16/2013 11:00,1.632,1.632,1.62893,1.6308
GBPUSD,12/16/2013 12:00,1.63089,1.63227,1.6297,1.63223
GBPUSD,12/16/2013 13:00,1.63229,1.63485,1.63224,1.63329
GBPUSD,12/16/2013 14:00,1.6333,1.63361,1.63087,1.63089
GBPUSD,12/16/2013 15:00,1.63092,1.63162,1.62977,1.63031
GBPUSD,12/16/2013 16:00,1.63031,1.63291,1.62958,1.62973
GBPUSD,12/16/2013 17:00,1.62977,1.63138,1.62905,1.63094
GBPUSD,12/16/2013 18:00,1.63092,1.63117,1.62962,1.63027
GBPUSD,12/16/2013 19:00,1.63023,1.63134,1.63013,1.63036
GBPUSD,12/16/2013 20:00,1.63036,1.6306,1.62934,1.63007
GBPUSD,12/16/2013 21:00,1.63005,1.63069,1.62996,1.63041
GBPUSD,12/16/2013 22:00,1.63042,1.6305,1.62969,1.62969
GBPUSD,12/16/2013 23:00,1.62969,1.62976,1.62895,1.6297
GBPUSD,12/17/2013 0:00,1.62972,1.63013,1.62956,1.6298
GBPUSD,12/17/2013 1:00,1.62978,1.63047,1.62968,1.6301
GBPUSD,12/17/2013 2:00,1.63014,1.6311,1.62996,1.63105
GBPUSD,12/17/2013 3:00,1.63106,1.63146,1.63099,1.63122
GBPUSD,12/17/2013 4:00,1.63123,1.63191,1.63118,1.63152
GBPUSD,12/17/2013 5:00,1.63153,1.63182,1.63141,1.63169
GBPUSD,12/17/2013 6:00,1.63167,1.63246,1.63162,1.63238
GBPUSD,12/17/2013 7:00,1.63239,1.63246,1.63201,1.6321
GBPUSD,12/17/2013 8:00,1.63208,1.63267,1.63152,1.63153
GBPUSD,12/17/2013 9:00,1.6315,1.63355,1.63145,1.63291
GBPUSD,12/17/2013 10:00,1.6329,1.63301,1.6285,1.62992
GBPUSD,12/17/2013 11:00,1.62993,1.6309,1.62863,1.63025
GBPUSD,12/17/2013 12:00,1.63025,1.63025,1.62587,1.62592
GBPUSD,12/17/2013 13:00,1.62592,1.62786,1.62564,1.62657
GBPUSD,12/17/2013 14:00,1.62658,1.62916,1.62592,1.62838
GBPUSD,12/17/2013 15:00,1.62834,1.62854,1.6246,1.62461
GBPUSD,12/17/2013 16:00,1.62469,1.62485,1.62175,1.6241
GBPUSD,12/17/2013 17:00,1.62409,1.62606,1.62315,1.62527
GBPUSD,12/17/2013 18:00,1.62521,1.62639,1.62507,1.62602
GBPUSD,12/17/2013 19:00,1.62604,1.62808,1.62567,1.62735
GBPUSD,12/17/2013 20:00,1.62733,1.62777,1.62632,1.62635
GBPUSD,12/17/2013 21:00,1.62634,1.62707,1.62606,1.62606
GBPUSD,12/17/2013 22:00,1.6261,1.62669,1.62602,1.62628
GBPUSD,12/17/2013 23:00,1.62628,1.62736,1.62604,1.62728
GBPUSD,12/18/2013 0:00,1.62724,1.62752,1.62691,1.62747
GBPUSD,12/18/2013 1:00,1.62749,1.62782,1.62718,1.62756
GBPUSD,12/18/2013 2:00,1.62755,1.62773,1.62719,1.6276
GBPUSD,12/18/2013 3:00,1.6276,1.62876,1.62756,1.62836
GBPUSD,12/18/2013 4:00,1.62835,1.62859,1.62799,1.62846
GBPUSD,12/18/2013 5:00,1.62845,1.62885,1.62826,1.6283
GBPUSD,12/18/2013 6:00,1.62838,1.62849,1.62797,1.62815
GBPUSD,12/18/2013 7:00,1.62817,1.6289,1.62813,1.62841
GBPUSD,12/18/2013 8:00,1.62842,1.62968,1.62818,1.62818
GBPUSD,12/18/2013 9:00,1.62818,1.63068,1.62736,1.63047
GBPUSD,12/18/2013 10:00,1.63057,1.63646,1.62957,1.63526
GBPUSD,12/18/2013 11:00,1.63543,1.63699,1.63501,1.63597
GBPUSD,12/18/2013 12:00,1.63595,1.63646,1.63504,1.63547
GBPUSD,12/18/2013 13:00,1.63545,1.63594,1.63501,1.63544
GBPUSD,12/18/2013 14:00,1.63543,1.63793,1.63542,1.63758
GBPUSD,12/18/2013 15:00,1.63753,1.63923,1.63748,1.63915
GBPUSD,12/18/2013 16:00,1.63915,1.6404,1.63871,1.63906
GBPUSD,12/18/2013 17:00,1.63904,1.64004,1.63847,1.63868
GBPUSD,12/18/2013 18:00,1.63868,1.6392,1.63833,1.63837
GBPUSD,12/18/2013 19:00,1.63837,1.63997,1.63792,1.63997
GBPUSD,12/18/2013 20:00,1.6397,1.64841,1.63426,1.64298
GBPUSD,12/18/2013 21:00,1.64297,1.64331,1.63649,1.63924
GBPUSD,12/18/2013 22:00,1.63922,1.64076,1.63849,1.63897
GBPUSD,12/18/2013 23:00,1.63897,1.63973,1.63719,1.63827
GBPUSD,12/19/2013 0:00,1.63827,1.63845,1.63657,1.63831
GBPUSD,12/19/2013 1:00,1.63829,1.63955,1.63772,1.63817
