Date,Pair,Open,High,Low,Close
10/4/2006 0:00,GBPUSD,1.8875,1.8882,1.8784,1.8865
10/5/2006 0:00,GBPUSD,1.8864,1.8868,1.875,1.8787
10/6/2006 0:00,GBPUSD,1.8786,1.8856,1.8672,1.8705
10/9/2006 0:00,GBPUSD,1.8688,1.8714,1.8634,1.8667
10/10/2006 0:00,GBPUSD,1.8666,1.8702,1.8527,1.8538
10/11/2006 0:00,GBPUSD,1.8537,1.8588,1.8517,1.8542
10/12/2006 0:00,GBPUSD,1.8541,1.8612,1.8536,1.8588
10/13/2006 0:00,GBPUSD,1.8592,1.8632,1.8533,1.8557
10/16/2006 0:00,GBPUSD,1.8549,1.8646,1.8523,1.8621
10/17/2006 0:00,GBPUSD,1.862,1.8735,1.8608,1.8714
10/18/2006 0:00,GBPUSD,1.8717,1.8738,1.8662,1.8674
10/19/2006 0:00,GBPUSD,1.8672,1.8798,1.8664,1.8772
10/20/2006 0:00,GBPUSD,1.8771,1.886,1.8754,1.8833
10/23/2006 0:00,GBPUSD,1.8829,1.8832,1.8685,1.8726
10/24/2006 0:00,GBPUSD,1.8728,1.8767,1.8672,1.8724
10/25/2006 0:00,GBPUSD,1.8722,1.8799,1.8719,1.8781
10/26/2006 0:00,GBPUSD,1.8784,1.8924,1.8777,1.8897
10/27/2006 0:00,GBPUSD,1.8898,1.9002,1.8869,1.8978
10/30/2006 0:00,GBPUSD,1.8962,1.9041,1.8953,1.8985
10/31/2006 0:00,GBPUSD,1.8987,1.9097,1.8956,1.9078
11/1/2006 0:00,GBPUSD,1.9076,1.9135,1.9054,1.9078
11/2/2006 0:00,GBPUSD,1.9081,1.9106,1.9033,1.9079
11/3/2006 0:00,GBPUSD,1.9078,1.9107,1.8974,1.9011
11/6/2006 0:00,GBPUSD,1.9016,1.9027,1.8947,1.899
11/7/2006 0:00,GBPUSD,1.8989,1.9121,1.8976,1.9068
11/8/2006 0:00,GBPUSD,1.907,1.9096,1.9005,1.9042
11/9/2006 0:00,GBPUSD,1.9043,1.9084,1.8973,1.9071
11/10/2006 0:00,GBPUSD,1.9068,1.9177,1.9061,1.9105
11/13/2006 0:00,GBPUSD,1.9119,1.9153,1.8996,1.9013
11/14/2006 0:00,GBPUSD,1.9016,1.9049,1.8922,1.8956
11/15/2006 0:00,GBPUSD,1.8955,1.8968,1.8836,1.8897
11/16/2006 0:00,GBPUSD,1.8893,1.8932,1.8851,1.8882
11/17/2006 0:00,GBPUSD,1.8883,1.8966,1.8835,1.8943
11/20/2006 0:00,GBPUSD,1.8945,1.8985,1.8931,1.8969
11/21/2006 0:00,GBPUSD,1.8972,1.9006,1.896,1.8996
11/22/2006 0:00,GBPUSD,1.8993,1.9165,1.8983,1.9153
11/23/2006 0:00,GBPUSD,1.9151,1.9169,1.9129,1.9154
11/24/2006 0:00,GBPUSD,1.9155,1.9348,1.9145,1.932
11/27/2006 0:00,GBPUSD,1.939,1.941,1.9305,1.9371
11/28/2006 0:00,GBPUSD,1.9374,1.9535,1.9367,1.9513
11/29/2006 0:00,GBPUSD,1.9515,1.9544,1.9434,1.946
11/30/2006 0:00,GBPUSD,1.9457,1.9697,1.9446,1.9652
12/1/2006 0:00,GBPUSD,1.9653,1.9846,1.9634,1.981
12/4/2006 0:00,GBPUSD,1.9832,1.9838,1.9722,1.9809
12/5/2006 0:00,GBPUSD,1.9807,1.9814,1.9677,1.9726
12/6/2006 0:00,GBPUSD,1.9727,1.9739,1.9615,1.9651
12/7/2006 0:00,GBPUSD,1.9649,1.971,1.9611,1.9629
12/8/2006 0:00,GBPUSD,1.9634,1.9728,1.9517,1.9545
12/11/2006 0:00,GBPUSD,1.9529,1.9594,1.9463,1.9591
12/12/2006 0:00,GBPUSD,1.959,1.9714,1.9575,1.9705
12/13/2006 0:00,GBPUSD,1.9706,1.9727,1.9604,1.9661
12/14/2006 0:00,GBPUSD,1.9663,1.9712,1.9578,1.9613
12/15/2006 0:00,GBPUSD,1.9612,1.9664,1.9498,1.9521
12/18/2006 0:00,GBPUSD,1.9522,1.9578,1.9433,1.9474
12/19/2006 0:00,GBPUSD,1.9476,1.97,1.9474,1.9691
12/20/2006 0:00,GBPUSD,1.9692,1.9747,1.9618,1.9649
12/21/2006 0:00,GBPUSD,1.9651,1.9697,1.9557,1.9619
12/22/2006 0:00,GBPUSD,1.962,1.9682,1.9557,1.9579
12/26/2006 0:00,GBPUSD,1.9579,1.9597,1.9514,1.9536
12/27/2006 0:00,GBPUSD,1.9538,1.9632,1.9526,1.9583
12/28/2006 0:00,GBPUSD,1.9582,1.9677,1.9552,1.9627
